[Sat Aug 18 01:19:30 2012] common.cc           (00051) RegisterComponents():  registering built-in components
[Sat Aug 18 01:19:30 2012] registry.cc         (00018)         Register():  registering component: config
[Sat Aug 18 01:19:30 2012] registry.cc         (00018)         Register():  registering component: schema_config
[Sat Aug 18 01:19:30 2012] registry.cc         (00018)         Register():  registering component: dictionary
[Sat Aug 18 01:19:30 2012] registry.cc         (00018)         Register():  registering component: reverse_lookup_dictionary
[Sat Aug 18 01:19:30 2012] registry.cc         (00018)         Register():  registering component: user_dictionary
[Sat Aug 18 01:19:30 2012] registry.cc         (00018)         Register():  registering component: ascii_composer
[Sat Aug 18 01:19:30 2012] registry.cc         (00018)         Register():  registering component: chord_composer
[Sat Aug 18 01:19:30 2012] registry.cc         (00018)         Register():  registering component: express_editor
[Sat Aug 18 01:19:30 2012] registry.cc         (00018)         Register():  registering component: fluency_editor
[Sat Aug 18 01:19:30 2012] registry.cc         (00018)         Register():  registering component: key_binder
[Sat Aug 18 01:19:30 2012] registry.cc         (00018)         Register():  registering component: navigator
[Sat Aug 18 01:19:30 2012] registry.cc         (00018)         Register():  registering component: punctuator
[Sat Aug 18 01:19:30 2012] registry.cc         (00018)         Register():  registering component: recognizer
[Sat Aug 18 01:19:30 2012] registry.cc         (00018)         Register():  registering component: selector
[Sat Aug 18 01:19:30 2012] registry.cc         (00018)         Register():  registering component: speller
[Sat Aug 18 01:19:30 2012] registry.cc         (00018)         Register():  registering component: abc_segmentor
[Sat Aug 18 01:19:30 2012] registry.cc         (00018)         Register():  registering component: ascii_segmentor
[Sat Aug 18 01:19:30 2012] registry.cc         (00018)         Register():  registering component: matcher
[Sat Aug 18 01:19:30 2012] registry.cc         (00018)         Register():  registering component: punct_segmentor
[Sat Aug 18 01:19:30 2012] registry.cc         (00018)         Register():  registering component: fallback_segmentor
[Sat Aug 18 01:19:30 2012] registry.cc         (00018)         Register():  registering component: echo_translator
[Sat Aug 18 01:19:30 2012] registry.cc         (00018)         Register():  registering component: punct_translator
[Sat Aug 18 01:19:30 2012] registry.cc         (00018)         Register():  registering component: table_translator
[Sat Aug 18 01:19:30 2012] registry.cc         (00018)         Register():  registering component: r10n_translator
[Sat Aug 18 01:19:30 2012] registry.cc         (00018)         Register():  registering component: reverse_lookup_translator
[Sat Aug 18 01:19:30 2012] registry.cc         (00018)         Register():  registering component: simplifier
[Sat Aug 18 01:19:30 2012] registry.cc         (00018)         Register():  registering component: uniquifier
[Sat Aug 18 01:19:30 2012] deployment_tasks.cc (00028)              Run():  updating rime installation.
[Sat Aug 18 01:19:30 2012] config.cc           (00411)     LoadFromFile():  loading config file '/home/alycolas/.config/fcitx/rime/installation.yaml'.
